image_name,hands_found,left_hand_landmarks,cropped_hand
<_io.TextIOWrapper name='hand_crop_info.csv' mode='a' encoding='cp1252'>,1,"[x: 0.122130238
y: 0.490237683
z: -4.14418622e-007
, x: 0.16378738
y: 0.485988259
z: -0.0200863946
, x: 0.205465823
y: 0.461041749
z: -0.0277218
, x: 0.236066818
y: 0.439804673
z: -0.033389058
, x: 0.263580889
y: 0.431342214
z: -0.0341673233
, x: 0.197738349
y: 0.427733451
z: -0.0142354304
, x: 0.198483899
y: 0.404246777
z: -0.0381600522
, x: 0.182135403
y: 0.431000024
z: -0.045966167
, x: 0.180644497
y: 0.444837272
z: -0.0469947942
, x: 0.169709936
y: 0.421700299
z: -0.0115045551
, x: 0.168577746
y: 0.397730023
z: -0.0363930948
, x: 0.157376766
y: 0.430907547
z: -0.0344410427
, x: 0.164976805
y: 0.440151811
z: -0.0259056408
, x: 0.142839924
y: 0.418046564
z: -0.0131974844
, x: 0.138950869
y: 0.398561358
z: -0.0372184739
, x: 0.133339867
y: 0.429914832
z: -0.0255427193
, x: 0.143200904
y: 0.438022763
z: -0.0105292117
, x: 0.118187144
y: 0.416923314
z: -0.0168180894
, x: 0.115721583
y: 0.4024975
z: -0.0280803535
, x: 0.113300502
y: 0.425021648
z: -0.0180375241
, x: 0.120433226
y: 0.434331626
z: -0.00647268
]",Left
<_io.TextIOWrapper name='hand_crop_info.csv' mode='a' encoding='cp1252'>,2,"[x: 0.123211838
y: 0.470008701
z: -2.02930224e-007
, x: 0.159975976
y: 0.46224007
z: -0.0147690568
, x: 0.190783396
y: 0.445757389
z: -0.0215877704
, x: 0.218353927
y: 0.429800153
z: -0.0286010485
, x: 0.240189552
y: 0.42126587
z: -0.0323989168
, x: 0.178528249
y: 0.409636855
z: -0.000805653457
, x: 0.171149045
y: 0.384865552
z: -0.0193866249
, x: 0.162984863
y: 0.400636375
z: -0.0286080204
, x: 0.166887864
y: 0.41244331
z: -0.0312987678
, x: 0.153774902
y: 0.407248735
z: 0.000632539159
, x: 0.146387085
y: 0.382989526
z: -0.0175955258
, x: 0.13935557
y: 0.406066597
z: -0.0192828011
, x: 0.147544399
y: 0.415499449
z: -0.0147669222
, x: 0.130873755
y: 0.407239676
z: -0.00202649785
, x: 0.124792531
y: 0.383133292
z: -0.0200108122
, x: 0.120184451
y: 0.404945672
z: -0.0137251979
, x: 0.128948867
y: 0.416570574
z: -0.00352350879
, x: 0.111302257
y: 0.410575449
z: -0.00640818942
, x: 0.104118541
y: 0.394282699
z: -0.0172709152
, x: 0.10483966
y: 0.40895769
z: -0.012713341
, x: 0.114749521
y: 0.419784307
z: -0.00498887617
]",Left
<_io.TextIOWrapper name='hand_crop_info.csv' mode='a' encoding='cp1252'>,1,"[x: 0.158318639
y: 0.505892754
z: -5.25365174e-008
, x: 0.185903
y: 0.503903031
z: -0.027318418
, x: 0.210863486
y: 0.49064827
z: -0.0417187698
, x: 0.234743
y: 0.482516825
z: -0.0535511822
, x: 0.259826422
y: 0.481211185
z: -0.0631018803
, x: 0.183865741
y: 0.463468164
z: -0.0237701871
, x: 0.169656903
y: 0.446416
z: -0.0461287796
, x: 0.168280452
y: 0.466605693
z: -0.0548852868
, x: 0.175995499
y: 0.478832245
z: -0.0576304607
, x: 0.161045104
y: 0.46187681
z: -0.0183913559
, x: 0.147438347
y: 0.444620222
z: -0.0436515324
, x: 0.146498844
y: 0.468867958
z: -0.047742527
, x: 0.155989051
y: 0.479507506
z: -0.0446584187
, x: 0.141887456
y: 0.463702977
z: -0.0172746256
, x: 0.12921685
y: 0.448128581
z: -0.0420688204
, x: 0.129772991
y: 0.470182985
z: -0.040236555
, x: 0.141103789
y: 0.48038134
z: -0.0325001925
, x: 0.128726244
y: 0.468611419
z: -0.0182916131
, x: 0.113950327
y: 0.458088696
z: -0.0337411575
, x: 0.114603572
y: 0.472492784
z: -0.0337325186
, x: 0.124437138
y: 0.481157601
z: -0.0300264563
]",Left
<_io.TextIOWrapper name='hand_crop_info.csv' mode='a' encoding='cp1252'>,2,"[x: 0.16403532
y: 0.590354502
z: -2.47027629e-007
, x: 0.192183062
y: 0.575241864
z: -0.00456360262
, x: 0.215229139
y: 0.556931794
z: -0.00656614453
, x: 0.231663615
y: 0.539637446
z: -0.010396813
, x: 0.244664401
y: 0.529147565
z: -0.0126380036
, x: 0.198271543
y: 0.534874916
z: 0.00795790553
, x: 0.195663676
y: 0.518698752
z: -0.00339723402
, x: 0.191359088
y: 0.533675432
z: -0.0100404918
, x: 0.192112178
y: 0.543912828
z: -0.0123898927
, x: 0.179323182
y: 0.533702552
z: 0.00597157935
, x: 0.177064508
y: 0.514988661
z: -0.00640104152
, x: 0.173849389
y: 0.534779
z: -0.00989403669
, x: 0.176756054
y: 0.543850124
z: -0.00849164
, x: 0.161822215
y: 0.535475671
z: 0.00185811846
, x: 0.15876919
y: 0.517472148
z: -0.00911012758
, x: 0.158137858
y: 0.535616934
z: -0.00543423044
, x: 0.161809936
y: 0.544442713
z: 0.000909974
, x: 0.144867867
y: 0.539827824
z: -0.00285727321
, x: 0.141069651
y: 0.524536908
z: -0.0065683173
, x: 0.14396283
y: 0.535982132
z: -0.000545151182
, x: 0.149786949
y: 0.543015897
z: 0.00607807469
]",Left
<_io.TextIOWrapper name='hand_crop_info.csv' mode='a' encoding='cp1252'>,2,"[x: 0.171815634
y: 0.532107
z: -1.25736108e-007
, x: 0.203275278
y: 0.517157793
z: -0.0204635449
, x: 0.227425098
y: 0.486519545
z: -0.0285877679
, x: 0.246582732
y: 0.462634325
z: -0.0345313437
, x: 0.265071601
y: 0.448352635
z: -0.0362926871
, x: 0.18989487
y: 0.457262784
z: -0.0151814306
, x: 0.173380539
y: 0.438759267
z: -0.0347653888
, x: 0.178434819
y: 0.461382031
z: -0.0414249972
, x: 0.187692687
y: 0.47331658
z: -0.0427092947
, x: 0.163600639
y: 0.461510181
z: -0.0124157146
, x: 0.146339417
y: 0.443811297
z: -0.0354216844
, x: 0.158389419
y: 0.470129788
z: -0.036967922
, x: 0.170353219
y: 0.479126871
z: -0.0324599333
, x: 0.141590565
y: 0.468851805
z: -0.013488235
, x: 0.12508215
y: 0.450577438
z: -0.0367052369
, x: 0.139852196
y: 0.473277599
z: -0.0306632612
, x: 0.152610689
y: 0.482651561
z: -0.0204176586
, x: 0.124008499
y: 0.479634553
z: -0.0162749682
, x: 0.112987779
y: 0.467191041
z: -0.0320608765
, x: 0.126535147
y: 0.481044471
z: -0.0293037668
, x: 0.13881208
y: 0.488393575
z: -0.0226819646
]",Left
<_io.TextIOWrapper name='hand_crop_info.csv' mode='a' encoding='cp1252'>,1,"[x: 0.132813543
y: 0.579333305
z: -3.80896608e-007
, x: 0.171212882
y: 0.5725
z: -0.0262515545
, x: 0.204291195
y: 0.550255537
z: -0.0397115164
, x: 0.232277349
y: 0.530118227
z: -0.0503658615
, x: 0.262370974
y: 0.519681334
z: -0.0567030981
, x: 0.189752623
y: 0.506296635
z: -0.0236733425
, x: 0.162968114
y: 0.503612459
z: -0.0461710915
, x: 0.157406166
y: 0.529622614
z: -0.0537049808
, x: 0.166445
y: 0.536522508
z: -0.0565464795
, x: 0.160952985
y: 0.499564648
z: -0.0195779093
, x: 0.13470684
y: 0.501675427
z: -0.0441795662
, x: 0.134967819
y: 0.531010032
z: -0.0435459428
, x: 0.150059924
y: 0.533164144
z: -0.0380634405
, x: 0.133372232
y: 0.499509573
z: -0.0195040889
, x: 0.110450074
y: 0.498514146
z: -0.0444521159
, x: 0.113639429
y: 0.525839448
z: -0.0356358178
, x: 0.130241781
y: 0.528116822
z: -0.0239869766
, x: 0.108299807
y: 0.502780259
z: -0.0220083781
, x: 0.0911319703
y: 0.500375748
z: -0.0371203758
, x: 0.0954974517
y: 0.520422
z: -0.0314439684
, x: 0.109848104
y: 0.525841832
z: -0.0228363927
]",Left
<_io.TextIOWrapper name='hand_crop_info.csv' mode='a' encoding='cp1252'>,2,"[x: 0.135319173
y: 0.53640461
z: -1.72442384e-007
, x: 0.170531824
y: 0.527929127
z: -0.0208220258
, x: 0.201514468
y: 0.511929393
z: -0.030309312
, x: 0.230831206
y: 0.496875107
z: -0.038268622
, x: 0.256625533
y: 0.4925749
z: -0.0423114747
, x: 0.192294478
y: 0.479784042
z: -0.00770861655
, x: 0.179519683
y: 0.45806253
z: -0.0285303723
, x: 0.170303285
y: 0.477880538
z: -0.0378891416
, x: 0.176211819
y: 0.48990643
z: -0.0402939953
, x: 0.166910842
y: 0.477259845
z: -0.00306565291
, x: 0.15722996
y: 0.457718909
z: -0.0247126389
, x: 0.15013811
y: 0.483394653
z: -0.0267233718
, x: 0.160497397
y: 0.491803855
z: -0.0217487402
, x: 0.143223017
y: 0.476830482
z: -0.00290259393
, x: 0.135480925
y: 0.460778117
z: -0.0237403922
, x: 0.131890148
y: 0.483023733
z: -0.0176827013
, x: 0.142405242
y: 0.491272926
z: -0.00682430156
, x: 0.121874228
y: 0.47852397
z: -0.00481295493
, x: 0.115969233
y: 0.464817405
z: -0.0157823712
, x: 0.115662277
y: 0.479709834
z: -0.0107563017
, x: 0.123585925
y: 0.488274932
z: -0.00239311159
]",Left
<_io.TextIOWrapper name='hand_crop_info.csv' mode='a' encoding='cp1252'>,2,"[x: 0.238675773
y: 0.473463386
z: -2.50015972e-007
, x: 0.269280225
y: 0.464381665
z: -0.017042933
, x: 0.294608206
y: 0.446774542
z: -0.0268091373
, x: 0.315865099
y: 0.432183921
z: -0.0358379222
, x: 0.337646693
y: 0.425367862
z: -0.0429544859
, x: 0.271096885
y: 0.415884405
z: -0.0143395336
, x: 0.259987324
y: 0.413152844
z: -0.0342253037
, x: 0.258801281
y: 0.432316571
z: -0.0441125073
, x: 0.26200676
y: 0.441185892
z: -0.0477657616
, x: 0.246474355
y: 0.415322393
z: -0.0132025387
, x: 0.236477494
y: 0.41340825
z: -0.0353766046
, x: 0.241546035
y: 0.436412036
z: -0.0390657671
, x: 0.24808751
y: 0.446808398
z: -0.0362180024
, x: 0.225290373
y: 0.41845572
z: -0.0149954967
, x: 0.21688655
y: 0.417884797
z: -0.0368531235
, x: 0.226268679
y: 0.439566284
z: -0.0342450738
, x: 0.235363573
y: 0.449285388
z: -0.0262484774
, x: 0.207458153
y: 0.424153179
z: -0.018162109
, x: 0.201610401
y: 0.422473848
z: -0.0317664295
, x: 0.211619869
y: 0.438662738
z: -0.0293796808
, x: 0.221504658
y: 0.447185308
z: -0.0232286938
]",Left
<_io.TextIOWrapper name='hand_crop_info.csv' mode='a' encoding='cp1252'>,1,"[x: 0.105559349
y: 0.490434468
z: -2.69643039e-007
, x: 0.144142851
y: 0.479409456
z: -0.0223718174
, x: 0.179410428
y: 0.459275424
z: -0.0361961462
, x: 0.201961398
y: 0.437340707
z: -0.0483089797
, x: 0.228935659
y: 0.428165704
z: -0.055807054
, x: 0.151763469
y: 0.424217522
z: -0.0161544308
, x: 0.135652065
y: 0.41111517
z: -0.0382797942
, x: 0.138377458
y: 0.434955031
z: -0.0456360243
, x: 0.148533225
y: 0.438705057
z: -0.0479471646
, x: 0.122563638
y: 0.424718261
z: -0.0128129199
, x: 0.108951941
y: 0.410422474
z: -0.0346042812
, x: 0.116208613
y: 0.441472024
z: -0.0304330438
, x: 0.127943948
y: 0.441258967
z: -0.0221722741
, x: 0.095731914
y: 0.426126689
z: -0.0139320232
, x: 0.0828838944
y: 0.41191107
z: -0.034349978
, x: 0.0919457078
y: 0.440407276
z: -0.0209062491
, x: 0.105642423
y: 0.442404658
z: -0.00660149613
, x: 0.0712383538
y: 0.429057121
z: -0.0175993498
, x: 0.0614893436
y: 0.418678582
z: -0.0267419256
, x: 0.0702368
y: 0.43885693
z: -0.017132692
, x: 0.0834691599
y: 0.443522424
z: -0.00694846176
]",Left
<_io.TextIOWrapper name='hand_crop_info.csv' mode='a' encoding='cp1252'>,2,"[x: 0.111430466
y: 0.526529729
z: -1.25840657e-007
, x: 0.142734751
y: 0.511869311
z: -0.0366977453
, x: 0.170793131
y: 0.488108903
z: -0.0568056926
, x: 0.206219748
y: 0.475682467
z: -0.0720907897
, x: 0.238673896
y: 0.476171494
z: -0.0810602
, x: 0.148934931
y: 0.438554496
z: -0.0305316281
, x: 0.141892195
y: 0.425667673
z: -0.0581894442
, x: 0.14349553
y: 0.453574
z: -0.0692299
, x: 0.145398289
y: 0.45910272
z: -0.0731742457
, x: 0.115095593
y: 0.444499135
z: -0.0224461984
, x: 0.112522706
y: 0.434055775
z: -0.0450384319
, x: 0.121254981
y: 0.468361557
z: -0.0429953933
, x: 0.124287851
y: 0.462460786
z: -0.0373908393
, x: 0.0837950632
y: 0.452020317
z: -0.0204247274
, x: 0.0842706785
y: 0.444141775
z: -0.0413347483
, x: 0.0969052687
y: 0.470982373
z: -0.0309453513
, x: 0.100960419
y: 0.467175484
z: -0.019829385
, x: 0.0560624674
y: 0.461099625
z: -0.022208808
, x: 0.0560458601
y: 0.453911215
z: -0.0289623
, x: 0.0697463155
y: 0.469478399
z: -0.018336514
, x: 0.0739985928
y: 0.471386403
z: -0.00855270494
]",Left
<_io.TextIOWrapper name='hand_crop_info.csv' mode='a' encoding='cp1252'>,1,"[x: 0.169794723
y: 0.501644492
z: -1.17682795e-007
, x: 0.204600215
y: 0.492346883
z: -0.0237939134
, x: 0.239331946
y: 0.476031929
z: -0.0330663882
, x: 0.269060791
y: 0.460589141
z: -0.0377775803
, x: 0.294909179
y: 0.454689384
z: -0.0376575924
, x: 0.219330013
y: 0.443263918
z: -0.0181815345
, x: 0.205301419
y: 0.433182389
z: -0.0342708044
, x: 0.204829723
y: 0.452478528
z: -0.0403736047
, x: 0.213872895
y: 0.451853275
z: -0.0423071533
, x: 0.193582773
y: 0.444959283
z: -0.0105361212
, x: 0.183720157
y: 0.435181439
z: -0.025073979
, x: 0.184903622
y: 0.45968318
z: -0.0241842
, x: 0.194184467
y: 0.456218392
z: -0.0205144174
, x: 0.17014429
y: 0.445390522
z: -0.00649210252
, x: 0.162356243
y: 0.436570317
z: -0.0202252101
, x: 0.164870769
y: 0.459475964
z: -0.0130063128
, x: 0.175345
y: 0.457823038
z: -0.00503065344
, x: 0.149075702
y: 0.44613871
z: -0.00465651043
, x: 0.142990381
y: 0.438058853
z: -0.00765050203
, x: 0.146159545
y: 0.45377332
z: 0.000666082371
, x: 0.154102772
y: 0.458034456
z: 0.00841800869
]",Left
